repo_full_name,repo_name,owner_login,primary_language,private,archived,homepage,html_url,topics,description,global_score,score_label,confidence,raw_score,total_penalties,architecture_structure,documentation_delivery,testing_reliability,technical_depth,portfolio_relevance,maintainability_cleanliness,penalty_count,portfolio_decision,executive_summary,portfolio_rationale,recruiter_signal,priority_actions,blockers,quick_wins
MatALass/3D_HOP,3D_HOP,MatALass,JavaScript,False,False,,https://github.com/MatALass/3D_HOP,,,22.05,weak,0.8,36.05,14.0,5.0,6.4,0.0,5.25,9.4,10.0,4,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 22.05/100 (weak). Primary language: JavaScript. Detected issues: 9. Confidence: 0.80.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add a concise GitHub description.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description.
MatALass/Analyse-des-Avis-et-Alertes-ANSSI,Analyse-des-Avis-et-Alertes-ANSSI,MatALass,HTML,False,False,,https://github.com/MatALass/Analyse-des-Avis-et-Alertes-ANSSI,,"Cybersecurity project analyzing ANSSI advisories and CVEs with enriched datasets, Python scripts, and Jupyter notebooks. Includes data preprocessing, AI/game logic, and reports for vulnerability insights.",28.6,weak,0.75,39.6,11.0,3.0,13.4,0.0,6.0,12.6,4.6,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 28.60/100 (weak). Primary language: HTML. Detected issues: 9. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/Atelier_Alassoeur_Website,Atelier_Alassoeur_Website,MatALass,CSS,False,False,http://www.atelier-alassoeur.com/,https://github.com/MatALass/Atelier_Alassoeur_Website,,"A simple web project with an HTML page styled by CSS and supported by image assets. It showcases sketches, photos, and logos, serving as a lightweight visual portfolio or presentation site.",25.0,weak,0.75,36.0,11.0,3.0,10.0,0.0,6.0,12.0,5.0,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 25.00/100 (weak). Primary language: CSS. Detected issues: 8. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation.
MatALass/Boardswipe,Boardswipe,MatALass,JavaScript,False,False,,https://github.com/MatALass/Boardswipe,"backend, board-games, community, database, frontend, javascript, recommendation-system, school-project, swipe-ui, web-application","BoardSwipe is an interactive web application for board game enthusiasts, allowing users to discover, rate, and share games through a swipe-based system, while connecting with a community of passionate players.",21.5,weak,0.8,35.5,14.0,3.0,8.4,0.0,4.5,10.4,9.2,4,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 21.50/100 (weak). Primary language: JavaScript. Detected issues: 9. Confidence: 0.80.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Remove generated build/cache artifacts.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation.
MatALass/CanAdventure,CanAdventure,MatALass,Vue,False,False,,https://github.com/MatALass/CanAdventure,"babel, eslint, frontend, javascript, modern-js, spa, tailwindcss, vue, vuejs, webapp","A Vue.js frontend application starter with ESLint, Babel, and Tailwind CSS for scalable modern web development.",50.2,fair,0.85,58.2,8.0,11.0,16.2,0.0,6.0,15.4,9.6,2,MERGE_OR_REPOSITION,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 50.20/100 (fair). Primary language: Vue. Detected issues: 6. Confidence: 0.85.","The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",Build a core automated test suite. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/GreenEscape,GreenEscape,MatALass,Python,False,False,https://green-escape.onrender.com/api/register-page/,https://github.com/MatALass/GreenEscape,"django, fun, game, maze, mongodb, web-development","Are you smarter than an algorithm? In this game, you're thrown into a maze. Take your time, analyze the path, then go for it and try to reach the exit as fast as possible. But be careful — you're not alone: three algorithms are racing with you… Will they be faster than you?",25.3,weak,0.8,39.3,14.0,3.0,10.8,0.0,4.5,11.8,9.2,4,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 25.30/100 (weak). Primary language: Python. Detected issues: 9. Confidence: 0.80.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Delete committed __pycache__ directories.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.
MatALass/ML_Football,ML_Football,MatALass,Jupyter Notebook,False,False,,https://github.com/MatALass/ML_Football,,"A Python project for sports and data analysis using multiple Excel files. Includes a main script and datasets to test, modify, and compute results, with IDE configuration files for easy development and reproducibility.",28.1,weak,0.75,38.6,10.5,0.0,15.0,0.0,6.0,12.6,5.0,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 28.10/100 (weak). Primary language: Jupyter Notebook. Detected issues: 9. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/Puissance4,Puissance4,MatALass,Python,False,False,,https://github.com/MatALass/Puissance4,,"AI-powered Connect Four (12x6) with Minimax, alpha-beta pruning, heuristics, and real-time decision-making. Play against the AI in the console with strategic depth and optimized performance.",28.0,weak,0.75,36.5,8.5,3.0,11.4,0.0,4.5,12.6,5.0,2,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 28.00/100 (weak). Primary language: Python. Detected issues: 8. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Expose a demo or homepage link when relevant.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.
MatALass/Signature-carre-des-canotiers,Signature-carre-des-canotiers,MatALass,HTML,False,False,,https://github.com/MatALass/Signature-carre-des-canotiers,"assets, branding, documentation, email-signature, email-template, github-pages, gmail, html-email, outlook, template","Signature email standardisée pour le Carré des Canotiers : templates HTML email-safe, assets versionnés, variantes (full/compact/texte) et guide d’intégration Gmail/Outlook + matrice de compatibilité.",33.9,weak,0.85,45.4,11.5,5.0,10.4,0.0,6.0,14.8,9.2,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 33.90/100 (weak). Primary language: HTML. Detected issues: 8. Confidence: 0.85.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Remove generated build/cache artifacts.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation.
MatALass/Space-Jumper,Space-Jumper,MatALass,Python,False,False,,https://github.com/MatALass/Space-Jumper,,"Space-Jumper: a Python-based arcade game—built by Mathieu Alassoeur, Samuel Da Silva, Roland Fontanes, Max Bortolotti, and Raphaël Thebault. Run `main.py` to play. Features intuitive controls, scoring, images, and sound for an engaging experience.",26.2,weak,0.75,37.7,11.5,3.0,12.0,0.0,7.5,11.0,4.2,3,MAKE_PRIVATE,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 26.20/100 (weak). Primary language: Python. Detected issues: 8. Confidence: 0.75.,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Delete committed __pycache__ directories.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.
