repo_name,repo_full_name,executive_summary,portfolio_decision,portfolio_rationale,recruiter_signal,strengths_count,weaknesses_count,blockers_count,quick_wins_count,priority_actions_count,strengths,weaknesses,blockers,quick_wins,priority_actions
3D_HOP,MatALass/3D_HOP,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 22.05/100 (weak). Primary language: JavaScript. Detected issues: 9. Confidence: 0.80.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",3,7,2,4,4,README is present with approximately 6 words. | .gitignore is present. | Documentation assets or screenshots were detected.,README exists but remains too short for strong portfolio communication. | README does not clearly explain installation or setup. | README does not clearly explain how to run or use the project. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | Repository description is missing or empty on GitHub.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a concise GitHub repository description.,Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add a concise GitHub description.
Analyse-des-Avis-et-Alertes-ANSSI,MatALass/Analyse-des-Avis-et-Alertes-ANSSI,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 27.60/100 (weak). Primary language: HTML. Detected issues: 9. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",3,7,2,4,5,README is present with approximately 189 words. | README includes usage instructions. | README documents the project structure or architecture.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.
Atelier_Alassoeur_Website,MatALass/Atelier_Alassoeur_Website,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 25.00/100 (weak). Primary language: CSS. Detected issues: 8. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,6,2,4,4,README is present with approximately 122 words. | README documents the project structure or architecture. | Repository exposes a homepage or demo URL. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | README does not clearly explain how to run or use the project. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Add a proper .gitignore file. | Add a basic GitHub Actions workflow for validation.,Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore.
automata-toolkit,MatALass/automata-toolkit,This repository already shows strong portfolio quality and professional delivery potential. Final score: 91.25/100 (excellent). Primary language: Python. Detected issues: 2. Confidence: 1.00.,FEATURE_NOW,"The repository is already strong enough to be featured directly: it shows credible structure, acceptable delivery quality, and a positive portfolio signal.","Strong recruiter signal. The repository appears structured, understandable, and credible as a featured engineering project.",10,2,0,2,1,Repository uses a dedicated src/ directory. | Repository exposes a top-level tests/ directory. | README is present with approximately 229 words. | README includes usage instructions. | README documents the project structure or architecture. | Automated tests detected (10 test file(s)). | Testing framework(s) detected: pytest. | CI appears to run automated tests. | .gitignore is present. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | No homepage or demo link was detected.,,Add installation/setup commands to the README. | Add a homepage or demo link if the project has a runnable output.,Expose a demo or homepage link when relevant.
between-light,MatALass/between-light,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 32.35/100 (weak). Primary language: Game Maker Language. Detected issues: 7. Confidence: 0.85.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",5,6,2,2,3,README is present with approximately 252 words. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation.,Build a core automated test suite. | Introduce a clearer source-code structure. | Review large committed files and keep only necessary assets.
binwatch,MatALass/binwatch,This repository is promising but still needs several improvements before it should be featured confidently. Final score: 64.60/100 (good). Primary language: HTML. Detected issues: 3. Confidence: 0.85.,MERGE_OR_REPOSITION,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Mixed recruiter signal. The project may have value, but the current delivery still creates doubt.",7,2,1,1,1,Repository uses a dedicated src/ directory. | README is present with approximately 443 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present. | Repository exposes a homepage or demo URL.,No automated tests were detected. | No CI workflow was detected.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation.,Build a core automated test suite.
Boardswipe,MatALass/Boardswipe,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 21.50/100 (weak). Primary language: JavaScript. Detected issues: 9. Confidence: 0.80.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",2,7,2,4,4,README is present with approximately 270 words. | .gitignore is present.,README does not clearly explain installation or setup. | README does not clearly explain how to run or use the project. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | Generated build or cache artifacts appear to be committed. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add a usage section with concrete run examples. | Add installation/setup commands to the README. | Delete generated build/package artifacts from the repository. | Add a basic GitHub Actions workflow for validation.,Document exactly how to run and use the project. | Build a core automated test suite. | Introduce a clearer source-code structure. | Remove generated build/cache artifacts.
CanAdventure,MatALass/CanAdventure,"This repository has some useful signals, but it is not yet strong enough for confident portfolio presentation. Final score: 50.20/100 (fair). Primary language: Vue. Detected issues: 6. Confidence: 0.85.",MERGE_OR_REPOSITION,"The repository contains some useful elements, but its current delivery is not strong enough on its own. It may be better improved, repositioned, or merged with a related project.","Weak recruiter signal. The repository may reflect effort, but the presentation and engineering quality are not yet convincing.",7,4,1,2,3,Repository uses a dedicated src/ directory. | README is present with approximately 205 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | .gitignore is present. | Documentation assets or screenshots were detected.,No automated tests were detected. | No CI workflow was detected. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly.,Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Review large committed files and keep only necessary assets. | Expose a demo or homepage link when relevant.
contact-card,MatALass/contact-card,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 37.55/100 (weak). Primary language: HTML. Detected issues: 7. Confidence: 0.80.,ARCHIVE_PUBLIC,"The repository is currently too weak to feature, but it may still remain public as an archive or learning artifact if it does not confuse the portfolio narrative.","Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",4,4,2,3,3,README is present with approximately 142 words. | README includes usage instructions. | .gitignore is present. | Documentation assets or screenshots were detected.,README does not clearly explain installation or setup. | Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected.,Missing automated tests weakens engineering credibility significantly. | Overall repository quality is currently too low for safe portfolio presentation.,Add installation/setup commands to the README. | Add a basic GitHub Actions workflow for validation. | Add a homepage or demo link if the project has a runnable output.,Build a core automated test suite. | Introduce a clearer source-code structure. | Expose a demo or homepage link when relevant.
dataviz-dashboard,MatALass/dataviz-dashboard,This repository is currently too weak or too incomplete to support a strong portfolio signal. Final score: 31.95/100 (weak). Primary language: Jupyter Notebook. Detected issues: 8. Confidence: 0.75.,MAKE_PRIVATE,The repository is currently more harmful than helpful for portfolio presentation and should generally be made private until it is substantially improved.,"Poor recruiter signal. In its current state, the repository is more likely to weaken than strengthen a portfolio.",5,6,3,3,5,README is present with approximately 373 words. | README includes installation or setup guidance. | README includes usage instructions. | README documents the project structure or architecture. | Documentation assets or screenshots were detected.,Repository lacks a clearly identified main code directory. | No automated tests were detected. | No CI workflow was detected. | .gitignore is missing. | Repository contains oversized files that reduce delivery quality. | No homepage or demo link was detected.,Missing automated tests weakens engineering credibility significantly. | Committed __pycache__ folders reduce professionalism and should be cleaned immediately. | Overall repository quality is currently too low for safe portfolio presentation.,Add a proper .gitignore file. | Remove Python cache artifacts from version control. | Add a basic GitHub Actions workflow for validation.,Build a core automated test suite. | Introduce a clearer source-code structure. | Add and apply a proper .gitignore. | Delete committed __pycache__ directories. | Review large committed files and keep only necessary assets.
